iter	Passed	Remaining
406	6154	5942
407	6166	5924
408	6183	5911
409	6196	5894
410	6216	5883
411	6230	5867
412	6244	5851
413	6257	5833
414	6268	5815
415	6279	5796
416	6290	5777
417	6305	5762
418	6323	5749
419	6338	5734
420	6352	5718
421	6367	5703
422	6379	5685
423	6393	5669
424	6408	5654
425	6426	5642
426	6441	5626
427	6455	5610
428	6469	5594
429	6481	5577
430	6494	5559
431	6503	5540
432	6517	5524
433	6533	5509
434	6548	5494
435	6563	5479
436	6577	5463
437	6591	5448
438	6605	5431
439	6620	5416
440	6635	5401
441	6648	5385
442	6663	5369
443	6674	5351
444	6687	5335
445	6699	5317
446	6710	5299
447	6725	5284
448	6740	5269
449	6755	5254
450	6774	5242
451	6784	5223
452	6796	5205
453	6807	5188
454	6828	5177
455	6838	5158
456	6852	5142
457	6867	5128
458	6882	5113
459	6891	5093
460	6902	5075
461	6918	5061
462	6931	5045
463	6945	5029
464	6960	5014
465	6972	4997
466	6986	4981
467	7000	4966
468	7015	4951
469	7028	4934
470	7040	4918
471	7056	4903
472	7067	4886
473	7081	4870
474	7095	4854
475	7110	4840
476	7125	4825
477	7141	4810
478	7154	4794
479	7168	4778
480	7183	4764
481	7199	4749
482	7217	4736
483	7234	4723
484	7247	4706
485	7258	4689
486	7274	4675
487	7288	4659
488	7306	4647
489	7323	4633
490	7332	4614
491	7345	4598
492	7359	4582
493	7373	4567
494	7392	4555
495	7411	4542
496	7427	4528
497	7438	4510
498	7452	4495
499	7468	4480
500	7482	4465
501	7499	4451
502	7515	4437
503	7528	4421
504	7545	4407
505	7557	4391
506	7569	4374
507	7586	4360
508	7606	4348
509	7623	4334
510	7634	4317
511	7647	4301
512	7664	4287
513	7678	4272
514	7699	4260
515	7718	4247
516	7732	4232
517	7748	4218
518	7770	4207
519	7784	4191
520	7800	4177
521	7813	4161
522	7829	4146
523	7843	4131
524	7860	4117
525	7873	4101
526	7888	4086
527	7901	4070
528	7916	4055
529	7927	4038
530	7941	4023
531	7954	4006
532	7968	3991
533	7982	3976
534	7999	3962
535	8010	3945
536	8021	3928
537	8033	3912
538	8049	3898
539	8062	3881
540	8072	3864
541	8088	3850
542	8104	3836
543	8117	3819
544	8131	3804
545	8145	3789
546	8154	3771
547	8173	3758
548	8186	3742
549	8200	3727
550	8208	3709
551	8221	3693
552	8234	3678
553	8244	3660
554	8258	3645
555	8270	3629
556	8282	3613
557	8299	3599
558	8309	3582
559	8322	3566
560	8337	3552
561	8348	3535
562	8365	3521
563	8379	3506
564	8393	3491
565	8408	3476
566	8421	3460
567	8439	3447
568	8456	3433
569	8470	3418
570	8484	3402
571	8500	3388
572	8515	3373
573	8530	3358
574	8541	3342
575	8555	3327
576	8569	3311
577	8581	3295
578	8597	3281
579	8611	3266
580	8625	3251
581	8643	3237
582	8657	3222
583	8671	3207
584	8687	3193
585	8706	3179
586	8721	3164
587	8733	3148
588	8750	3134
589	8765	3120
590	8780	3105
591	8792	3089
592	8808	3074
593	8826	3060
594	8843	3046
595	8859	3032
596	8873	3017
597	8891	3003
598	8906	2988
599	8923	2974
600	8940	2960
601	8955	2945
602	8979	2933
603	9002	2921
604	9023	2908
605	9040	2894
606	9058	2880
607	9072	2864
608	9088	2850
609	9099	2834
610	9115	2819
611	9127	2803
612	9139	2788
613	9151	2772
614	9169	2758
615	9186	2743
616	9201	2729
617	9215	2713
618	9228	2698
619	9247	2684
620	9259	2669
621	9271	2653
622	9284	2637
623	9297	2622
624	9312	2607
625	9321	2590
626	9337	2576
627	9353	2561
628	9368	2546
629	9384	2532
630	9397	2516
631	9410	2501
632	9426	2486
633	9446	2473
634	9466	2459
635	9485	2445
636	9502	2431
637	9518	2416
638	9535	2402
639	9550	2387
640	9567	2373
641	9580	2357
642	9597	2343
643	9610	2327
644	9625	2313
645	9639	2297
646	9653	2282
647	9665	2267
648	9676	2251
649	9692	2236
650	9705	2221
651	9721	2206
652	9738	2192
653	9752	2177
654	9765	2161
655	9777	2146
656	9787	2130
657	9801	2115
658	9815	2100
659	9829	2085
660	9842	2069
661	9860	2055
662	9876	2040
663	9893	2026
