iter	RMSE
513	1.15286543
514	1.152770076
515	1.152656501
516	1.152544077
517	1.152489231
518	1.152439915
519	1.152363735
520	1.152282115
521	1.152215393
522	1.152140677
523	1.152065072
524	1.152012532
525	1.151950352
526	1.151923783
527	1.151850771
528	1.151790301
529	1.151706061
530	1.151592383
531	1.151508953
532	1.151461928
533	1.1514156
534	1.15136896
535	1.151303382
536	1.151248244
537	1.151165598
538	1.151098249
539	1.151034282
540	1.150888424
541	1.150809952
542	1.150708158
543	1.150648444
544	1.150565487
545	1.150517199
546	1.150437886
547	1.150393485
548	1.150331266
549	1.150285697
550	1.150259182
551	1.150216837
552	1.150172258
553	1.15012825
554	1.150040998
555	1.149968882
556	1.149887233
557	1.149850408
558	1.149773124
559	1.149728426
560	1.149656513
561	1.14959397
562	1.149445195
563	1.149356938
564	1.149333744
565	1.14925464
566	1.149203593
567	1.149156214
568	1.149078454
569	1.148984034
570	1.148905802
571	1.14887339
572	1.148803132
573	1.148748334
574	1.148654268
575	1.14855119
576	1.148519999
577	1.148454983
578	1.148416883
579	1.148298108
580	1.148203098
581	1.148119462
582	1.148081495
583	1.147984431
584	1.147917799
585	1.147873007
586	1.147832089
587	1.147756007
588	1.14770162
589	1.147674038
590	1.147592131
591	1.147559215
592	1.147479834
593	1.147460751
594	1.147341927
595	1.147280051
596	1.147205708
597	1.147050333
598	1.147008952
599	1.14695318
600	1.146884508
601	1.146793808
602	1.146656423
603	1.14663821
604	1.146598676
605	1.146535564
606	1.14648166
607	1.146422063
608	1.146390296
609	1.146297356
610	1.146222672
611	1.146200742
612	1.146067325
613	1.146008231
614	1.145902826
615	1.145861538
616	1.145749177
617	1.145687676
618	1.145647781
619	1.145590032
620	1.145533844
621	1.145468094
622	1.145313562
623	1.145257264
624	1.145162609
625	1.145111471
626	1.145059045
627	1.144940048
628	1.144814522
629	1.144789777
630	1.144749739
631	1.144723894
632	1.144618057
633	1.14455823
634	1.144514772
635	1.144391066
636	1.144316159
637	1.144258889
638	1.144198454
639	1.144165054
640	1.144103217
641	1.144051625
642	1.143979411
643	1.143941806
644	1.143898859
645	1.143842747
646	1.143774266
647	1.143706224
648	1.143636627
649	1.143568863
650	1.143408634
651	1.143360255
652	1.143319771
653	1.143268116
654	1.14319798
655	1.143163292
656	1.143128415
657	1.143038648
658	1.142925486
659	1.142890449
660	1.142840345
661	1.142745412
662	1.142710897
663	1.142663711
664	1.142648908
665	1.142570024
666	1.142463225
667	1.142342759
668	1.142241961
669	1.14215616
670	1.142073375
671	1.14201705
672	1.141965382
673	1.141866847
674	1.141839672
675	1.141688145
676	1.141621967
677	1.141575318
678	1.141529302
679	1.141442906
680	1.141392892
681	1.141324489
682	1.141301749
683	1.141242766
684	1.141171146
685	1.141072258
686	1.141000918
687	1.140911756
688	1.140855536
689	1.140741672
690	1.140715684
691	1.140665549
692	1.140535044
693	1.140478928
694	1.140413762
695	1.140319518
696	1.140209757
697	1.140168568
698	1.140046766
699	1.139952248
700	1.139912172
701	1.139873972
702	1.139789924
703	1.139759066
704	1.139657882
705	1.1396201
706	1.139578658
707	1.139471456
708	1.139445867
709	1.139411979
710	1.139338497
711	1.139218622
712	1.139155283
713	1.139054074
714	1.139013646
715	1.138918282
716	1.138848601
717	1.138823269
718	1.138730948
719	1.138704733
720	1.138637434
721	1.138604598
722	1.13852903
723	1.138469533
724	1.138330389
725	1.138191697
726	1.138097098
727	1.138010363
728	1.137927837
729	1.137838099
730	1.137743483
731	1.137628683
732	1.137556927
733	1.137509128
734	1.137481913
735	1.137417011
736	1.137275243
737	1.13723686
738	1.137139718
739	1.137072149
740	1.137021999
741	1.136999854
742	1.13694978
743	1.136899046
744	1.136787409
745	1.136742104
746	1.136690853
747	1.13661993
748	1.136525237
749	1.136476192
750	1.136426166
751	1.136382797
752	1.136283538
753	1.136257409
754	1.136193226
755	1.136084868
756	1.136063375
757	1.135998291
758	1.135932462
759	1.135839692
760	1.135763375
761	1.135707765
762	1.135665121
763	1.135620948
764	1.135553763
765	1.13549855
766	1.135416736
767	1.135345623
768	1.135312772
769	1.135214317
770	1.135140359
771	1.135116539
772	1.135042222
773	1.134955623
774	1.134900637
775	1.134818863
776	1.134746846
777	1.134635076
778	1.134530518
779	1.134468978
780	1.134362011
781	1.134216354
782	1.134168967
783	1.134087913
784	1.134017554
785	1.133936396
786	1.133880377
787	1.133843843
788	1.133790346
789	1.133721909
790	1.133654535
791	1.133615517
792	1.133569569
793	1.133488064
794	1.133445218
795	1.133374243
796	1.13330911
797	1.133190192
798	1.133092592
799	1.133056963
